# Celestial coordinates, proper motions, magnitudes and the masses of the possible members of Alpha Persi as found by this study, 
# sorted by right ascension from PPMXL.
# Stellar masses are derived from the J magnitudes using a PARSEC isochorne. In the last column, 'D' and 'L' letters correspond to 
# Deacon & Hambly (2004) and Lodieu et al. (2012) respectively and show whether the members have also been designated by these studies.
# 
# column  1: Right Ascension
# column  2: Declination
# column  3: J magnitude
# column  4: Ks magnitude
# column  5: Error of column 3
# column  6: Error of column 4
# column  7: Proper motion in RA  [*cos(Dec)]
# column  8: Proper Motion in Dec
# column  9: Error of column 7
# column 10: Error of column 8
# column 11: Mass in solar units
# column 12: Whether the star is also found in Deacon, N. R., Hambly, N. C., 2004, A&A, 416, 125 or 
# in Lodieu, N., Deacon, N. R., Hambly, N. C., Boudreault, S., 2012, MNRAS, 426, 3403L
# ------------------------------------------------------------------------------------------------------------------------------------------------
48.632999		+49.333000		15.325		14.451		0.049		0.074		+09.4		-24.9		5.4		5.4		0.110		-
48.653999		+49.335999		13.594		12.676		0.025		0.026		+22.3		-25.3		4.0		4.0		0.342		-
48.751999		+48.200001		14.153		13.254		0.031		0.033		+17.8		-15.9		5.3		5.3		0.239		-
48.779999		+49.846001		13.536		12.629		0.024		0.022		+19.0		-25.2		4.1		4.1		0.354		DL
48.787998		+49.179001		15.100		14.444		0.047		0.077		+25.4		-21.2		5.6		5.6		0.126		-
48.801998		+47.782001		15.295		14.436		0.046		0.066		+19.2		-26.2		4.1		4.1		0.112		-
48.834999		+49.709000		15.366		14.338		0.056		0.071		+22.8		-24.3		4.1		4.1		0.106		-
48.853001		+48.787998		13.308		12.425		0.025		0.023		+15.9		-32.6		5.4		5.4		0.397		-
48.862000		+48.126999		14.585		13.646		0.033		0.042		+13.2		-24.5		4.0		4.0		0.179		-
48.863998		+49.674999		14.131		13.204		0.029		0.029		+24.4		-29.9		4.1		4.1		0.243		L
48.865002		+48.810001		15.424		14.852		0.088		0.138		+28.2		-24.9		5.6		5.6		0.098		-
48.867001		+47.568001		13.243		12.360		0.024		0.023		+16.8		-24.2		3.9		3.9		0.410		DL
48.900002		+48.271999		15.467		14.673		0.065		0.088		+16.4		-24.9		5.5		5.5		0.098		-
48.901001		+49.813000		13.368		12.443		0.024		0.024		+17.0		-27.1		5.5		5.5		0.386		DL
48.928001		+48.234001		14.212		13.258		0.029		0.030		+22.8		-24.3		5.5		5.5		0.231		-
48.938999		+48.606998		13.738		12.863		0.023		0.026		+25.0		-26.5		4.0		4.0		0.315		DL
48.939999		+49.011002		11.073		10.394		0.020		0.014		+17.7		-28.8		4.0		4.0		0.802		-
48.945000		+49.803001		11.646		10.799		0.020		0.020		+20.3		-18.7		4.0		4.0		0.671		-
48.945000		+49.588001		14.577		13.571		0.041		0.046		+14.4		-29.8		4.1		4.1		0.178		-
48.964001		+47.953999		14.541		13.584		0.034		0.038		+21.7		-24.5		5.5		5.5		0.184		-
48.991001		+49.688000		14.386		13.488		0.039		0.039		+18.9		-17.7		4.0		4.0		0.202		L
48.994999		+48.451000		13.257		12.355		0.023		0.025		+23.1		-21.5		4.0		4.0		0.408		L
49.035999		+50.087002		12.248		11.356		0.025		0.021		+19.7		-35.3		4.1		4.1		0.575		-
49.039001		+50.352001		13.344		12.468		0.027		0.027		+22.4		-22.2		4.0		4.0		0.389		-
49.066002		+48.688999		13.373		12.438		0.021		0.021		+26.3		-23.6		4.0		4.0		0.387		L
49.074001		+50.319000		13.261		12.348		0.025		0.025		+22.4		-22.3		4.0		4.0		0.406		DL
49.075001		+48.144001		14.876		14.040		0.044		0.059		+35.1		-30.0		5.3		5.3		0.145		-
49.078999		+49.081001		12.994		12.071		0.024		0.022		+25.4		-28.2		5.5		5.5		0.457		L
49.089001		+50.495998		14.048		13.127		0.030		0.030		+27.9		-32.9		4.1		4.1		0.255		DL
49.130001		+49.311001		11.046		10.363		0.023		0.018		+20.8		-27.8		4.0		4.0		0.806		D
49.133999		+49.222000		14.610		13.735		0.033		0.045		+21.7		-32.4		5.4		5.4		0.177		-
49.136002		+50.587002		13.319		12.397		0.023		0.022		+23.4		-28.5		4.0		4.0		0.396		L
49.146999		+47.119999		12.539		11.694		0.029		0.022		+21.9		-23.2		3.9		3.9		0.532		DL
49.147999		+50.539001		15.413		14.380		0.058		0.075		+19.1		-27.1		5.4		5.4		0.102		-
49.157001		+50.412998		15.141		14.255		0.045		0.066		+15.9		-19.0		5.4		5.4		0.123		-
49.161999		+49.452000		10.452		09.962		0.022		0.018		+20.7		-24.1		6.9		6.9		0.938		D
49.166000		+49.372002		11.194		10.495		0.023		0.020		+21.6		-23.5		4.0		4.0		0.777		-
49.166000		+47.327999		12.955		12.082		0.029		0.018		+22.6		-24.9		5.2		5.2		0.462		DL
49.166000		+47.327999		12.955		12.082		0.029		0.018		+22.6		-24.9		5.2		5.2		0.462		DL
49.167000		+50.297001		14.811		13.931		0.040		0.053		+28.4		-20.5		5.3		5.3		0.153		-
49.189999		+48.084999		15.450		14.117		0.081		0.075		+28.2		-22.7		5.5		5.5		0.097		-
49.203999		+47.268002		14.274		13.390		0.032		0.033		+14.7		-29.3		3.9		3.9		0.220		-
49.208000		+49.598999		14.883		14.144		0.037		0.059		+17.7		-23.5		5.5		5.5		0.147		-
49.209000		+49.750000		15.388		14.507		0.057		0.084		+28.9		-21.1		5.4		5.4		0.104		-
49.212002		+49.501999		13.670		12.779		0.024		0.027		+17.3		-19.7		4.0		4.0		0.328		L
49.223000		+48.535000		11.177		10.440		0.023		0.018		+25.9		-23.3		4.0		4.0		0.780		-
49.237000		+49.555000		14.718		13.757		0.034		0.043		+15.3		-25.7		4.1		4.1		0.164		-
49.241001		+47.953999		15.398		14.492		0.043		0.067		+11.5		-21.6		5.4		5.4		0.106		-
49.264999		+46.821999		13.590		12.737		0.027		0.020		+18.7		-28.3		3.9		3.9		0.342		-
49.265999		+47.526001		13.935		13.085		0.024		0.022		+23.8		-23.5		5.2		5.2		0.278		-
49.306999		+49.210999		14.679		13.677		0.032		0.038		+19.9		-21.8		5.5		5.5		0.169		L
49.320000		+49.629002		12.100		11.212		0.022		0.018		+15.1		-27.9		4.1		4.1		0.595		D
49.320999		+49.629002		12.100		11.212		0.022		0.018		+26.2		-26.5		4.0		4.0		0.595		L
49.332001		+48.580002		10.743		10.173		0.020		0.014		+20.9		-25.4		4.0		4.0		0.872		D
49.334751		+49.502071		08.907		08.608		0.021		0.018		+24.5		-24.9		1.5		1.5		1.373		-
49.340000		+48.076000		13.251		12.338		0.021		0.023		+25.9		-30.9		4.1		4.1		0.410		DL
49.340000		+48.372002		11.790		10.893		0.020		0.016		+22.0		-25.0		4.0		4.0		0.642		D
49.342999		+50.110001		15.043		14.257		0.047		0.064		+22.4		-27.8		4.1		4.1		0.131		-
49.368000		+47.255001		14.982		14.015		0.043		0.050		+14.7		-23.8		5.3		5.3		0.136		-
49.375000		+47.262001		10.447		09.858		0.025		0.018		+13.7		-32.5		4.9		4.9		0.937		-
49.380001		+47.625000		13.312		12.403		0.029		0.018		+18.1		-25.0		3.9		3.9		0.395		D
49.380001		+50.217999		15.396		14.546		0.055		0.078		+29.9		-21.9		4.2		4.2		0.104		-
49.381001		+48.863998		10.745		10.154		0.020		0.016		+18.2		-24.3		4.0		4.0		0.872		D
49.382000		+50.220001		14.506		13.585		0.031		0.036		+26.4		-27.0		4.0		4.0		0.190		-
49.384998		+48.191002		14.893		13.950		0.039		0.052		+22.5		-17.3		5.5		5.5		0.145		-
49.411999		+48.847000		12.562		11.656		0.023		0.021		+22.7		-26.7		4.0		4.0		0.531		L
49.421001		+48.026001		11.321		10.682		0.020		0.020		+27.3		-22.0		8.3		8.3		0.754		-
49.422001		+47.164001		14.796		13.851		0.040		0.042		+27.0		-18.8		3.9		3.9		0.155		-
49.437000		+49.102001		15.127		14.140		0.046		0.059		+24.7		-33.6		5.5		5.5		0.124		L
49.448002		+47.314999		14.358		13.552		0.033		0.039		+23.3		-28.4		3.9		3.9		0.207		-
49.451000		+49.306999		15.435		14.452		0.052		0.086		+20.0		-33.2		5.6		5.6		0.102		-
49.464001		+47.042000		14.266		13.393		0.028		0.035		+29.5		-20.7		3.9		3.9		0.223		-
49.474998		+49.473999		13.308		12.393		0.024		0.025		+21.8		-25.9		4.0		4.0		0.398		DL
49.519001		+50.330002		12.911		11.976		0.021		0.019		+24.9		-30.1		4.0		4.0		0.474		L
49.521927		+49.906063		08.937		08.689		0.021		0.020		+22.3		-23.8		1.3		1.2		1.362		-
49.528999		+50.098999		13.412		12.485		0.022		0.024		+32.7		-19.1		5.4		5.4		0.379		DL
49.535000		+49.272999		14.086		13.197		0.030		0.034		+28.7		-27.9		4.1		4.1		0.250		DL
49.535999		+49.314999		11.994		11.093		0.022		0.017		+20.7		-27.3		4.0		4.0		0.610		L
49.537998		+49.422001		15.251		14.291		0.058		0.078		+21.7		-22.4		5.4		5.4		0.113		B
49.568001		+50.737000		15.323		14.533		0.060		0.096		+15.3		-30.7		4.2		4.2		0.108		-
49.588001		+50.549999		13.681		12.772		0.027		0.032		+29.1		-32.0		4.0		4.0		0.324		L
49.589001		+47.637001		11.523		10.682		0.021		0.023		+19.9		-38.2		5.3		5.3		0.708		-
49.591999		+49.339001		14.797		14.096		0.045		0.060		+21.9		-32.6		4.1		4.1		0.153		B
49.596001		+49.466999		12.564		11.695		0.023		0.019		+22.5		-24.4		4.0		4.0		0.531		D
49.599621		+50.555702		07.584		07.541		0.024		0.017		+25.1		-25.8		0.7		0.8		2.260		-
49.604000		+48.978001		14.878		13.941		0.041		0.048		+21.7		-21.2		4.0		4.0		0.146		-
49.611000		+46.800999		13.497		12.635		0.027		0.028		+23.5		-31.3		4.0		4.0		0.360		L
49.612000		+48.609001		15.464		14.378		0.060		0.074		+23.2		-24.9		4.1		4.1		0.099		-
49.614174		+47.354282		09.833		09.352		0.019		0.024		+20.8		-27.3		1.7		1.7		1.092		-
49.618999		+51.181000		15.101		13.979		0.049		0.061		+34.6		-28.0		5.5		5.5		0.126		-
49.626999		+46.624001		14.302		13.347		0.031		0.038		+20.3		-22.6		4.1		4.1		0.216		-
49.626999		+50.201000		12.946		12.048		0.021		0.020		+19.7		-31.4		4.1		4.1		0.468		L
49.647999		+48.247002		15.051		14.020		0.048		0.055		+29.2		-32.0		4.1		4.1		0.130		-
49.653000		+47.458000		13.120		12.269		0.024		0.020		+20.1		-24.2		4.1		4.1		0.433		L
49.655998		+48.937000		14.035		13.173		0.030		0.031		+27.1		-24.3		4.1		4.1		0.257		D
49.655998		+50.320000		15.403		14.220		0.058		0.061		+16.1		-16.0		5.4		5.4		0.103		-
49.657257		+50.222176		05.238		05.326		0.018		0.020		+22.7		-25.2		0.4		0.5		4.553		-
49.660000		+49.465000		10.406		09.878		0.021		0.019		+12.6		-17.9		6.3		6.3		0.949		-
49.674999		+51.287998		14.658		13.690		0.035		0.046		+19.5		-23.0		4.1		4.1		0.170		-
49.683998		+50.153999		13.683		12.768		0.025		0.026		+20.9		-28.9		4.0		4.0		0.325		DL
49.686535		+49.769955		07.675		07.664		0.021		0.023		+22.1		-25.0		1.1		1.0		2.182		-
49.709999		+49.730999		09.867		09.488		0.021		0.016		+21.7		-24.4		1.4		1.4		1.082		-
49.727001		+50.408001		12.893		11.967		0.023		0.022		+26.4		-18.8		5.5		5.5		0.477		-
49.741001		+48.908001		15.215		14.350		0.051		0.072		+23.9		-22.2		4.1		4.1		0.117		-
49.742001		+47.042000		13.721		12.773		0.027		0.027		+19.6		-27.3		4.1		4.1		0.317		-
49.742001		+49.372002		11.523		10.655		0.020		0.019		+25.2		-28.9		4.1		4.1		0.709		-
49.752998		+49.087002		15.231		14.468		0.055		0.083		+24.6		-16.1		5.4		5.4		0.115		-
49.756001		+49.431999		14.965		13.949		0.048		0.060		+14.1		-28.5		4.1		4.1		0.137		-
49.759998		+49.560001		12.127		11.227		0.022		0.022		+19.7		-24.7		5.5		5.5		0.592		DL
49.759998		+49.560001		12.127		11.227		0.022		0.022		+19.7		-24.7		5.5		5.5		0.592		DL
49.769001		+46.507000		13.613		12.713		0.025		0.028		+19.2		-17.0		4.1		4.1		0.339		-
49.781830		+50.094967		05.092		05.196		0.019		0.018		+22.4		-25.3		0.4		0.5		4.647		-
49.782001		+48.894001		15.393		14.482		0.059		0.079		+13.1		-16.7		5.6		5.6		0.103		-
49.796001		+48.705002		14.985		14.128		0.047		0.061		+15.5		-22.9		5.5		5.5		0.135		-
49.811001		+50.345001		13.613		12.661		0.026		0.028		+27.4		-26.6		4.1		4.1		0.338		L
49.854000		+48.993999		13.257		12.331		0.022		0.022		+19.0		-34.1		4.1		4.1		0.408		L
49.860001		+48.310001		14.243		13.345		0.026		0.027		+18.4		-29.7		4.1		4.1		0.227		D
49.880001		+49.688000		13.520		12.586		0.022		0.024		+20.2		-26.8		4.1		4.1		0.358		DL
49.882999		+48.039001		14.699		13.864		0.037		0.050		+17.9		-27.8		4.1		4.1		0.165		-
49.908001		+48.144001		13.369		12.451		0.025		0.026		+18.7		-32.0		4.1		4.1		0.386		L
49.922001		+50.115002		11.625		10.730		0.022		0.023		+30.5		-28.7		4.1		4.1		0.675		-
49.924999		+48.699001		15.155		14.204		0.048		0.064		+17.7		-27.6		5.5		5.5		0.121		-
49.928001		+47.730000		12.556		11.627		0.022		0.025		+21.6		-22.1		4.1		4.1		0.532		-
49.932999		+49.937000		12.012		11.160		0.020		0.018		+17.0		-22.8		4.1		4.1		0.608		-
49.938999		+46.613998		14.523		13.612		0.036		0.044		+26.4		-34.2		4.1		4.1		0.186		-
49.938999		+46.948002		15.314		14.231		0.055		0.064		+19.1		-17.6		4.1		4.1		0.110		-
49.939999		+50.143002		10.473		10.073		0.021		0.020		+27.8		-11.1		7.9		7.9		0.934		-
49.946899		+48.627918		07.459		07.457		0.020		0.020		+22.0		-25.3		0.6		0.7		2.390		-
49.948002		+48.979000		14.834		13.991		0.042		0.055		+11.7		-29.5		5.5		5.5		0.150		L
49.951000		+47.173000		14.298		13.389		0.029		0.036		+16.4		-24.3		4.1		4.1		0.218		-
49.978001		+48.275002		14.320		13.329		0.028		0.033		+24.5		-32.5		4.1		4.1		0.215		L
49.980999		+49.643002		14.563		13.720		0.035		0.041		+22.3		-30.6		4.1		4.1		0.181		D
49.988998		+49.073002		12.644		11.713		0.022		0.021		+19.7		-30.3		4.1		4.1		0.519		DL
49.990002		+49.868999		10.483		09.917		0.022		0.018		+17.4		-29.7		5.2		5.2		0.931		-
49.998001		+50.752998		13.729		12.841		0.023		0.030		+27.5		-27.1		4.1		4.1		0.317		DL
50.004002		+47.757999		12.880		11.992		0.022		0.019		+23.7		-24.3		4.1		4.1		0.480		DL
50.011002		+46.498001		12.631		11.758		0.022		0.019		+17.8		-20.2		4.1		4.1		0.521		-
50.026100		+50.968761		06.910		06.920		0.027		0.020		+23.0		-25.8		0.6		0.7		2.925		-
50.028000		+48.577999		12.361		11.481		0.023		0.021		+30.0		-23.1		3.9		3.9		0.560		-
50.050999		+48.945000		12.736		11.790		0.023		0.021		+19.7		-32.3		3.9		3.9		0.504		L
50.061001		+50.726002		15.499		14.522		0.050		0.078		+20.4		-27.1		5.3		5.3		0.099		-
50.088001		+48.018002		14.895		13.929		0.036		0.040		+25.1		-29.9		5.2		5.2		0.146		L
50.091000		+46.444000		15.149		14.276		0.048		0.061		+28.6		-30.3		4.1		4.1		0.122		-
50.112000		+46.401001		15.153		14.123		0.055		0.060		+22.4		-20.9		4.0		4.0		0.120		-
50.120998		+51.459000		15.336		14.497		0.059		0.072		+20.1		-19.8		4.0		4.0		0.107		-
50.132000		+49.667000		13.857		12.977		0.028		0.033		+16.3		-27.6		3.9		3.9		0.291		DLB
50.147999		+46.644001		13.260		12.428		0.024		0.028		+26.8		-18.2		4.0		4.0		0.407		-
50.174000		+48.410000		10.411		09.884		0.023		0.021		+24.7		-23.7		1.8		1.7		0.947		-
50.179001		+46.754002		13.678		12.782		0.023		0.026		+21.3		-33.3		4.0		4.0		0.327		L
50.186001		+51.472000		14.616		13.832		0.039		0.047		+26.6		-31.9		3.9		3.9		0.174		D
50.188000		+47.359001		10.861		10.366		0.024		0.019		+29.4		-28.3		4.0		4.0		0.844		-
50.191002		+51.235001		14.350		13.475		0.042		0.040		+19.3		-31.8		5.2		5.2		0.205		-
50.212002		+50.254002		13.877		12.905		0.024		0.023		+21.7		-24.5		3.9		3.9		0.289		D
50.213001		+46.011002		15.397		14.561		0.055		0.086		+12.2		-18.0		5.4		5.4		0.104		-
50.215000		+49.466000		10.873		10.286		0.022		0.022		+18.1		-28.3		3.9		3.9		0.842		-
50.230999		+49.016998		14.258		13.374		0.033		0.032		+34.1		-32.0		5.2		5.2		0.222		-
50.236000		+49.345001		12.281		11.386		0.022		0.020		+21.0		-30.2		3.9		3.9		0.571		L
50.248001		+49.702999		12.093		11.197		0.024		0.023		+16.5		-26.8		5.2		5.2		0.595		-
50.249001		+48.310001		14.694		13.739		0.031		0.045		+22.4		-25.9		5.2		5.2		0.167		L
50.258999		+50.242001		13.448		12.444		0.023		0.023		+21.8		-29.6		3.9		3.9		0.372		D
50.259998		+49.784000		12.590		11.694		0.024		0.019		+15.9		-23.5		3.9		3.9		0.526		L
50.263000		+48.970001		14.293		13.510		0.032		0.040		+20.1		-35.2		3.9		3.9		0.217		-
50.277000		+51.695000		13.689		12.742		0.024		0.026		+24.6		-23.1		3.9		3.9		0.324		L
50.292000		+46.945000		15.287		14.347		0.050		0.069		+11.5		-27.6		5.4		5.4		0.112		-
50.296001		+48.330002		13.929		12.993		0.027		0.026		+25.9		-31.9		3.9		3.9		0.278		L
50.300999		+50.986000		13.099		12.222		0.024		0.023		+24.8		-28.5		3.9		3.9		0.437		DL
50.304001		+48.999001		12.284		11.376		0.026		0.022		+15.9		-21.6		3.9		3.9		0.569		-
50.306999		+47.766998		11.609		10.882		0.019		0.026		+25.3		-32.6		4.0		4.0		0.682		-
50.314999		+48.973000		14.439		13.542		0.035		0.038		+21.4		-29.8		3.9		3.9		0.197		-
50.326000		+49.785999		15.138		14.148		0.036		0.051		+13.2		-25.5		5.2		5.2		0.125		-
50.327000		+48.624001		14.229		13.273		0.030		0.034		+15.7		-28.4		3.9		3.9		0.228		DL
50.328999		+46.714001		15.145		14.188		0.053		0.067		+18.9		-29.2		5.4		5.4		0.121		-
50.334999		+47.888000		12.312		11.396		0.022		0.027		+19.2		-24.5		4.0		4.0		0.567		DL
50.341999		+49.951000		11.430		10.648		0.023		0.021		+15.4		-23.1		3.9		3.9		0.729		-
50.342999		+47.431000		13.257		12.318		0.026		0.029		+21.7		-25.1		4.0		4.0		0.406		DL
50.348000		+45.973999		15.014		14.118		0.044		0.061		+23.8		-20.2		4.0		4.0		0.134		-
50.360001		+50.317001		13.470		12.570		0.027		0.026		+24.1		-31.1		3.9		3.9		0.366		-
50.375000		+48.823002		14.668		13.711		0.036		0.040		+15.8		-25.6		3.9		3.9		0.169		B
50.375977		+48.493858		08.365		08.186		0.019		0.021		+22.2		-24.4		0.9		0.9		1.631		-
50.386002		+49.577000		15.135		14.193		0.048		0.057		+20.0		-14.1		5.2		5.2		0.123		-
50.397999		+51.500000		15.302		14.285		0.054		0.068		+27.4		-14.2		5.3		5.3		0.110		-
50.400002		+48.936001		15.107		14.185		0.043		0.052		+11.3		-20.4		5.2		5.2		0.126		-
50.402000		+49.389000		13.776		12.888		0.028		0.024		+23.2		-36.1		3.9		3.9		0.305		L
50.410000		+49.816002		12.866		11.945		0.024		0.022		+21.0		-29.2		3.9		3.9		0.481		D
50.417583		+49.120232		08.663		08.457		0.026		0.020		+22.9		-25.4		1.4		1.4		1.465		-
50.429001		+49.810001		14.605		13.554		0.035		0.034		+16.9		-34.2		5.2		5.2		0.177		L
50.431999		+45.877998		15.130		14.181		0.043		0.067		+14.2		-20.7		5.4		5.4		0.124		-
50.437000		+46.849998		14.947		14.100		0.045		0.063		+17.3		-31.0		4.0		4.0		0.139		-
50.441002		+46.763000		13.367		12.481		0.028		0.030		+23.8		-33.7		4.0		4.0		0.385		L
50.444000		+48.826000		13.871		12.962		0.027		0.032		+26.7		-27.9		3.9		3.9		0.289		D
50.456001		+49.525002		11.409		10.726		0.024		0.025		+27.2		-33.2		3.9		3.9		0.733		-
50.456001		+49.104000		14.408		13.501		0.028		0.042		+18.9		-15.8		5.2		5.2		0.202		-
